NTP,Polymerised Nucleotide,Exhausted Nucleotide,tRNA,Amino Acids,Creatine_Phosphate,Pyrophosphate,Creatine,TL Enzymes,Modelled Final Protein,Round #
3000.0,0.5,0.5,5.0,600.0,5000.0,1.0,1.0,6.0,550.9086825277133,0
0.0,0.5,0.5,5.0,600.0,5000.0,1.0,1.0,6.0,0.0,0
3000.0,0.0,0.5,5.0,600.0,5000.0,1.0,1.0,6.0,550.9086825277035,0
3000.0,0.5,0.0,5.0,600.0,5000.0,1.0,1.0,6.0,549.6516842967787,0
3000.0,0.5,0.5,0.0,600.0,5000.0,1.0,1.0,6.0,177.29094260308497,0
3000.0,0.5,0.5,5.0,0.0,5000.0,1.0,1.0,6.0,1.000000001846377,0
3000.0,0.5,0.5,5.0,600.0,0.0,1.0,1.0,6.0,541.5037309292813,0
3000.0,0.5,0.5,5.0,600.0,5000.0,0.0,1.0,6.0,508.12293904674067,0
3000.0,0.5,0.5,5.0,600.0,5000.0,1.0,0.0,6.0,550.9087093773373,0
3000.0,0.5,0.5,5.0,600.0,5000.0,1.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0
1200.0,0.25,0.45,4.0,600.0,2000.0,1.0,0.7,1.7999999999999998,150.76930617833884,0
2700.0,0.2,0.0,4.5,240.0,1500.0,0.6,0.5,1.2000000000000002,101.81941801151945,0
600.0,0.45,0.5,2.5,0.0,3000.0,0.0,0.3,2.4000000000000004,0.0,0
0.0,0.05,0.45,5.0,0.0,500.0,0.6,0.7,0.0,0.0,0
2100.0,0.45,0.45,2.0,360.0,3000.0,0.2,0.4,2.4000000000000004,127.18406583392996,0
1200.0,0.25,0.1,4.0,300.0,4500.0,0.5,0.7,3.5999999999999996,288.3319850599908,0
1800.0,0.15,0.15,0.0,300.0,500.0,0.7,1.0,5.4,115.85209309944482,0
2100.0,0.35,0.3,1.0,0.0,4000.0,0.5,1.0,1.7999999999999998,0.5000000000000006,0
2100.0,0.35,0.1,0.5,420.0,5000.0,0.8,0.7,3.0,108.98968533380783,0
300.0,0.45,0.35,0.0,540.0,3500.0,0.1,0.9,0.0,0.0,0
300.0,0.3,0.0,4.5,180.0,3500.0,0.3,0.0,4.199999999999999,180.30000000019186,0
3000.0,0.25,0.5,0.5,300.0,0.0,0.3,1.0,4.800000000000001,116.49869000289493,0
3000.0,0.2,0.15,5.0,120.0,4000.0,0.6,0.1,3.0,120.59999999608445,0
0.0,0.35,0.15,4.5,120.0,4500.0,0.5,0.9,4.800000000000001,0.0,0
3000.0,0.25,0.3,3.0,600.0,3500.0,0.5,0.0,0.0,0.0,0
1500.0,0.4,0.35,1.0,180.0,500.0,0.7,0.9,4.800000000000001,180.69999999979038,0
0.0,0.05,0.1,4.5,360.0,4000.0,0.9,1.0,4.800000000000001,0.0,0
2100.0,0.45,0.3,1.0,60.0,1500.0,0.3,1.0,2.4000000000000004,60.29999999983765,0
2400.0,0.2,0.5,2.0,420.0,3500.0,0.4,0.5,3.0,168.56493723901946,0
300.0,0.3,0.35,1.5,360.0,1000.0,0.7,0.7,4.199999999999999,207.7237274108185,0
3000.0,0.25,0.05,2.5,300.0,2500.0,0.0,0.4,3.0,172.5919111313806,0
1200.0,0.35,0.25,1.5,360.0,5000.0,0.3,0.2,4.800000000000001,221.37258131169875,0
2700.0,0.2,0.15,0.0,600.0,5000.0,0.9,0.2,1.2000000000000002,32.544453552497636,0
300.0,0.05,0.2,3.5,480.0,4000.0,0.8,0.0,4.199999999999999,326.91732922097617,0
2100.0,0.45,0.15,0.0,420.0,4500.0,0.1,0.3,0.0,0.0,0
1200.0,0.5,0.05,2.5,60.0,1000.0,0.3,0.8,0.0,0.0,0
600.0,0.3,0.1,3.5,120.0,0.0,0.8,0.2,1.7999999999999998,96.27771090047317,0
3000.0,0.2,0.2,1.0,60.0,3000.0,0.4,0.6,1.7999999999999998,60.39986416725757,0
2100.0,0.0,0.25,5.0,0.0,1000.0,0.5,0.7,3.0,0.5000000000000007,0
3000.0,0.05,0.15,2.0,180.0,500.0,0.1,0.7,3.0,153.04162889403725,0
1800.0,0.45,0.35,2.5,480.0,1500.0,0.1,0.4,6.0,350.67811138766814,0
1500.0,0.05,0.1,2.5,120.0,3500.0,0.5,0.7,3.5999999999999996,120.50000000017617,0
1800.0,0.15,0.05,0.5,240.0,3500.0,0.4,0.7,6.0,161.5475147224483,0
300.0,0.3,0.2,0.5,60.0,1000.0,0.4,0.5,3.5999999999999996,60.39999999999192,0
900.0,0.1,0.15,4.0,540.0,1500.0,0.1,0.2,4.199999999999999,315.1850421695131,0
0.0,0.35,0.15,1.0,60.0,0.0,0.5,1.0,3.5999999999999996,0.0,0
600.0,0.0,0.5,0.0,60.0,500.0,0.4,0.4,4.800000000000001,60.012740030083506,0
2400.0,0.1,0.2,0.0,300.0,3000.0,0.8,0.6,4.199999999999999,102.72523724699639,0
600.0,0.0,0.3,1.0,540.0,3500.0,0.5,0.5,6.0,240.8227694856433,0
600.0,0.05,0.1,4.0,60.0,3500.0,0.8,0.8,1.7999999999999998,60.800000000253306,0
2700.0,0.35,0.05,2.5,600.0,3500.0,0.5,0.3,4.199999999999999,270.41008812147146,0
1500.0,0.15,0.1,0.5,60.0,3500.0,0.6,0.5,3.5999999999999996,60.599999999705084,0
1500.0,0.3,0.45,2.5,420.0,3500.0,0.2,0.9,0.0,0.0,0
900.0,0.2,0.45,2.5,0.0,2000.0,0.1,0.5,3.5999999999999996,0.0999999546991244,0
2400.0,0.25,0.45,1.0,600.0,0.0,1.0,0.8,6.0,292.7426119466891,0
2700.0,0.35,0.1,0.0,0.0,3000.0,0.6,0.9,5.4,0.6000000058930813,0
1800.0,0.35,0.3,4.0,420.0,2000.0,0.0,0.9,5.4,405.38588079787496,0
0.0,0.5,0.05,4.5,120.0,2000.0,1.0,0.5,6.0,0.0,0
300.0,0.1,0.1,2.0,240.0,1500.0,0.5,0.8,3.5999999999999996,200.66675638512822,0
2400.0,0.05,0.3,3.5,360.0,4000.0,0.3,0.8,4.800000000000001,353.40700888689815,0
1200.0,0.45,0.15,2.5,360.0,5000.0,0.6,0.9,3.5999999999999996,236.16258360449854,0
0.0,0.35,0.45,0.0,300.0,2000.0,0.7,0.8,3.0,0.0,0
0.0,0.25,0.35,1.0,360.0,0.0,0.2,0.6,4.199999999999999,0.0,0
900.0,0.0,0.2,2.5,360.0,2500.0,0.7,0.7,1.7999999999999998,119.44423315477968,0
2400.0,0.3,0.3,1.0,480.0,1500.0,0.9,0.6,2.4000000000000004,114.65133401568201,0
600.0,0.0,0.5,0.5,540.0,3000.0,0.2,0.2,6.0,129.98822463244178,0
1500.0,0.3,0.15,0.0,600.0,4000.0,0.8,0.8,3.0,73.37806780477821,0
2700.0,0.3,0.4,2.0,420.0,0.0,1.0,0.1,3.0,190.98059154983696,0
0.0,0.4,0.2,3.5,300.0,1000.0,1.0,0.4,0.0,0.0,0
600.0,0.0,0.05,0.0,480.0,4000.0,0.1,0.8,6.0,21.072852164193982,0
300.0,0.5,0.45,4.5,480.0,5000.0,0.8,0.4,2.4000000000000004,207.34971935088726,0
2100.0,0.35,0.0,3.0,0.0,2500.0,0.7,0.5,3.0,0.7000000177689333,0
2700.0,0.5,0.05,3.0,300.0,2500.0,0.5,0.9,0.0,0.0,0
600.0,0.35,0.3,5.0,540.0,500.0,0.3,0.8,4.199999999999999,255.23075500044158,0
600.0,0.3,0.1,4.5,120.0,0.0,1.0,0.2,2.4000000000000004,119.4296755999379,0
600.0,0.4,0.3,2.0,480.0,3500.0,0.2,0.4,0.0,0.0,0
1200.0,0.2,0.5,4.0,240.0,1500.0,0.3,0.4,0.0,0.0,0
600.0,0.05,0.35,0.5,240.0,3000.0,0.3,0.2,0.0,0.0,0
900.0,0.25,0.4,0.0,180.0,4500.0,0.9,0.1,0.0,0.0,0
0.0,0.45,0.5,4.5,60.0,2500.0,0.3,0.7,3.0,0.0,0
1200.0,0.1,0.2,3.0,360.0,3500.0,0.7,0.7,3.5999999999999996,260.1847462608595,0
1200.0,0.5,0.4,2.5,360.0,4500.0,0.8,0.4,1.2000000000000002,81.72415061694353,0
3000.0,0.3,0.45,4.5,360.0,3500.0,0.6,0.2,4.800000000000001,360.5999999982055,0
1500.0,0.1,0.15,1.5,540.0,500.0,0.4,0.3,0.0,0.0,0
1800.0,0.5,0.2,0.5,240.0,4500.0,0.3,1.0,0.0,0.0,0
0.0,0.25,0.05,4.0,60.0,2000.0,0.9,0.1,0.6000000000000001,0.0,0
0.0,0.15,0.35,1.0,240.0,0.0,0.2,1.0,1.7999999999999998,0.0,0
3000.0,0.45,0.0,2.0,480.0,0.0,0.3,0.9,0.0,0.0,0
2100.0,0.25,0.1,2.5,540.0,2500.0,1.0,0.6,4.800000000000001,336.34919652837254,0
600.0,0.0,0.4,5.0,480.0,1000.0,0.8,0.1,2.4000000000000004,208.5094838099053,0
