NTP,Polymerised Nucleotide,Exhausted Nucleotide,tRNA,Amino Acids,Creatine_Phosphate,Pyrophosphate,Creatine,TL Enzymes
1800.0,0.1,0.1,4.5,600.0,5000.0,0.4,0.2,4.800000000000001
1500.0,0.0,0.05,5.0,600.0,2500.0,0.7,0.4,4.800000000000001
2100.0,0.05,0.45,4.0,600.0,5000.0,0.6,0.9,5.4
3000.0,0.3,0.45,3.0,540.0,3500.0,0.0,0.0,6.0
2700.0,0.35,0.3,5.0,480.0,2500.0,0.8,0.1,6.0
1200.0,0.15,0.05,4.0,600.0,3000.0,0.4,0.2,5.4
3000.0,0.0,0.05,3.0,600.0,2500.0,0.4,0.1,3.5999999999999996
3000.0,0.1,0.0,3.5,540.0,1000.0,0.7,0.1,4.800000000000001
2700.0,0.35,0.15,4.5,540.0,3500.0,0.1,0.9,4.800000000000001
2700.0,0.0,0.4,1.5,600.0,3500.0,0.5,0.1,6.0
3000.0,0.35,0.35,4.5,600.0,2000.0,0.5,0.4,3.5999999999999996
1800.0,0.35,0.25,4.0,600.0,3000.0,1.0,0.4,6.0
2400.0,0.25,0.35,5.0,480.0,4000.0,0.5,0.7,5.4
1200.0,0.0,0.5,4.5,600.0,3500.0,0.9,0.2,5.4
2100.0,0.2,0.0,5.0,420.0,3000.0,0.2,0.2,6.0
3000.0,0.2,0.3,3.5,600.0,5000.0,0.4,0.4,3.5999999999999996
2100.0,0.15,0.0,4.5,480.0,4000.0,0.6,0.6,5.4
3000.0,0.3,0.05,5.0,480.0,0.0,0.9,0.2,4.800000000000001
1800.0,0.45,0.5,4.5,540.0,3000.0,0.5,0.0,6.0
2700.0,0.25,0.0,3.5,600.0,500.0,0.8,0.2,4.199999999999999
1500.0,0.1,0.1,5.0,540.0,2000.0,0.3,0.4,4.199999999999999
1500.0,0.05,0.25,3.0,600.0,2500.0,0.3,0.5,5.4
1800.0,0.25,0.05,4.5,540.0,2000.0,0.6,0.5,4.800000000000001
2100.0,0.15,0.15,2.5,600.0,0.0,0.3,0.2,5.4
2100.0,0.1,0.45,4.5,540.0,1000.0,0.8,0.8,5.4
1800.0,0.2,0.05,3.5,600.0,4500.0,0.3,0.5,4.199999999999999
3000.0,0.0,0.1,3.5,600.0,2500.0,0.7,0.9,3.0
3000.0,0.3,0.2,3.0,540.0,1000.0,0.4,0.3,5.4
2700.0,0.15,0.3,2.5,600.0,0.0,0.5,0.0,4.800000000000001
2400.0,0.3,0.4,4.5,600.0,0.0,0.2,0.6,3.5999999999999996
2100.0,0.1,0.0,3.5,480.0,500.0,0.3,0.1,6.0
300.0,0.15,0.05,5.0,600.0,2000.0,0.3,0.6,5.4
900.0,0.05,0.15,5.0,540.0,3000.0,0.3,0.1,4.800000000000001
2100.0,0.25,0.05,5.0,420.0,1500.0,0.3,0.4,6.0
1800.0,0.2,0.3,5.0,540.0,3500.0,0.5,0.8,4.199999999999999
2400.0,0.2,0.45,5.0,600.0,0.0,0.9,0.7,3.5999999999999996
2400.0,0.2,0.1,5.0,600.0,3500.0,0.8,1.0,2.4000000000000004
3000.0,0.05,0.35,4.5,480.0,4500.0,0.0,0.0,3.0
1800.0,0.05,0.25,5.0,420.0,3500.0,0.2,0.0,5.4
3000.0,0.0,0.25,5.0,600.0,500.0,0.0,0.6,0.6000000000000001
2100.0,0.1,0.45,4.5,600.0,500.0,0.0,0.6,3.0
3000.0,0.25,0.15,5.0,420.0,1000.0,0.3,1.0,5.4
2400.0,0.05,0.15,4.5,540.0,500.0,0.1,0.6,3.0
2700.0,0.2,0.15,3.5,540.0,3500.0,0.7,0.5,4.199999999999999
3000.0,0.45,0.2,4.0,420.0,500.0,0.1,0.0,6.0
1800.0,0.3,0.3,3.0,540.0,3500.0,0.0,0.3,5.4
3000.0,0.2,0.1,3.0,600.0,500.0,0.1,0.0,2.4000000000000004
2700.0,0.25,0.3,3.0,480.0,3500.0,0.2,0.9,6.0
2400.0,0.0,0.4,3.0,540.0,3000.0,0.2,0.5,4.199999999999999
2700.0,0.0,0.15,3.5,540.0,3500.0,0.4,0.7,3.0
300.0,0.25,0.0,5.0,540.0,0.0,0.7,0.0,6.0
1800.0,0.4,0.1,3.5,600.0,3500.0,0.0,0.2,3.5999999999999996
2700.0,0.25,0.1,5.0,420.0,3000.0,0.0,0.0,3.5999999999999996
2700.0,0.15,0.5,4.5,480.0,3000.0,0.9,0.6,4.800000000000001
1200.0,0.0,0.05,3.0,540.0,2000.0,0.4,0.0,5.4
2700.0,0.4,0.15,3.0,540.0,1500.0,0.5,0.0,4.800000000000001
3000.0,0.2,0.35,3.5,540.0,5000.0,0.1,0.2,3.0
1200.0,0.15,0.25,3.0,600.0,5000.0,0.8,0.8,5.4
2700.0,0.0,0.25,4.5,540.0,4000.0,0.7,1.0,2.4000000000000004
2400.0,0.5,0.45,3.0,540.0,3500.0,0.3,0.8,6.0
2400.0,0.0,0.05,3.0,540.0,4000.0,0.3,0.8,3.5999999999999996
1800.0,0.2,0.05,5.0,480.0,2500.0,0.2,0.0,3.5999999999999996
3000.0,0.1,0.2,0.5,600.0,2500.0,0.2,0.6,5.4
2400.0,0.4,0.45,4.0,480.0,4000.0,0.0,0.8,5.4
1800.0,0.45,0.4,3.0,600.0,500.0,0.5,0.7,6.0
900.0,0.3,0.4,4.5,600.0,4000.0,0.8,0.7,4.800000000000001
2400.0,0.2,0.4,4.5,480.0,3000.0,0.2,0.8,4.199999999999999
2700.0,0.45,0.1,3.0,540.0,1500.0,0.4,1.0,6.0
1800.0,0.15,0.2,5.0,480.0,3000.0,0.1,0.6,3.5999999999999996
3000.0,0.4,0.05,4.0,540.0,2500.0,0.4,1.0,3.5999999999999996
3000.0,0.25,0.1,4.0,480.0,4500.0,0.5,0.6,3.5999999999999996
2100.0,0.15,0.3,2.0,540.0,1000.0,0.5,0.2,6.0
2400.0,0.25,0.2,3.0,540.0,0.0,0.0,0.7,5.4
2700.0,0.15,0.1,5.0,360.0,1500.0,0.7,1.0,6.0
1500.0,0.05,0.15,5.0,600.0,5000.0,0.4,0.3,1.2000000000000002
2700.0,0.15,0.25,2.5,540.0,5000.0,0.4,0.8,4.199999999999999
900.0,0.2,0.25,3.0,600.0,3000.0,0.6,1.0,6.0
2700.0,0.0,0.0,3.5,420.0,4000.0,0.3,0.9,4.800000000000001
1500.0,0.3,0.05,4.0,480.0,4000.0,0.7,1.0,6.0
600.0,0.0,0.15,3.5,600.0,500.0,0.4,0.9,6.0
2400.0,0.05,0.45,3.5,480.0,3500.0,0.1,0.6,4.199999999999999
1500.0,0.0,0.2,4.0,600.0,4500.0,0.0,1.0,2.4000000000000004
3000.0,0.1,0.45,0.0,600.0,4500.0,0.1,0.0,4.800000000000001
2400.0,0.05,0.1,4.0,540.0,2000.0,0.5,0.4,2.4000000000000004
900.0,0.05,0.0,5.0,420.0,3000.0,0.6,0.2,5.4
1500.0,0.0,0.5,3.0,600.0,0.0,0.0,0.1,4.199999999999999
1800.0,0.15,0.5,5.0,420.0,3000.0,0.7,0.4,5.4
2100.0,0.15,0.0,3.0,420.0,4500.0,0.5,0.2,6.0
1500.0,0.05,0.15,5.0,600.0,0.0,0.2,0.6,1.7999999999999998
600.0,0.35,0.1,4.5,540.0,5000.0,0.5,0.1,4.800000000000001
2100.0,0.05,0.45,4.0,600.0,5000.0,0.6,0.9,5.4
2700.0,0.35,0.3,5.0,480.0,2500.0,0.8,0.1,6.0
2400.0,0.25,0.35,5.0,480.0,4000.0,0.5,0.7,5.4
1800.0,0.35,0.25,4.0,600.0,3000.0,1.0,0.4,6.0
2700.0,0.35,0.15,4.5,540.0,3500.0,0.1,0.9,4.800000000000001
3000.0,0.3,0.45,3.0,540.0,3500.0,0.0,0.0,6.0
2400.0,0.5,0.45,3.0,540.0,3500.0,0.3,0.8,6.0
2700.0,0.15,0.5,4.5,480.0,3000.0,0.9,0.6,4.800000000000001
1800.0,0.45,0.5,4.5,540.0,3000.0,0.5,0.0,6.0
3000.0,0.35,0.35,4.5,600.0,2000.0,0.5,0.4,3.5999999999999996
